model,domain,paramaters,stochasticity,attention,RMSE,TXx,RALSD,PSS,IAV,Inference Memory Usage (GB),Mean_Bias,P98_Bias
ucast_convolutional_mcdropout,SA,180829247,dropout,dense,1.2782,308.079,2.9598,0.9853,0.6244,2.73,0.1469,-0.2731
ucast_cnn_perturbation,SA,180829247,perturbation,dense,1.2725,308.1125,2.0855,0.9866,0.6319,3.4248,0.126,-0.2418
